variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
high_conviction_top10_v1,2025Q3,ARWR,154.6624,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,14,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q3,CRDO,152.5064,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,68,1,2+,rm_buy_review_flag,hp_LLM_best,
high_conviction_top10_v1,2024Q1,MSTR,151.7569,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,29,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,CORZ,151.7341,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,50,0,0,,,
high_conviction_top10_v1,2023Q1,IREN,151.497,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,1,0,rm_buy_review_flag,,bitcoin_mining_downcycle_restructuring
high_conviction_top10_v1,2025Q2,VSAT,149.3308,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,25,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q4,EVER,148.0127,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,43,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q4,GOLD,146.2188,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,5,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,ICHR,144.9206,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,3,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,EBS,144.3223,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,24,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,VITL,141.4474,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,27,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q3,APP,140.6138,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,3,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q4,SNBR,137.428,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,26,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,SYM,137.3552,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,37,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q4,SNDK,136.1943,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,22,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,IRWD,132.9545,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,62,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,AXTI,130.8696,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,46,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q1,CRK,125.7104,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,25,76.000000,76,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q4,BE,124.2534,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,21,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,BBBY,123.9131,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,33,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q4,NNBR,120.9091,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,67,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q4,TROX,120.0637,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,27,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q4,IREN,117.4194,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,1,0,rm_buy_review_flag,,Low-cost renewable power for bitcoin mining
high_conviction_top10_v1,2024Q1,SLQT,117.3913,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,38,78.000000,78,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,AEHR,116.4051,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,28,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q2,RBLX,116.0128,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,6,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,CODI,113.5802,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,25,0,0,,,
high_conviction_top10_v1,2023Q2,EXPI,113.2155,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,56,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q4,CTEV,112.4318,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,16,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q4,APEI,112.3809,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,51,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,GRPN,112.2995,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,34,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,WLDN,112.1667,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,5,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,RDNW,112.1212,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,22,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q2,IREN,111.3903,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,1,0,rm_buy_review_flag,,Data center expansion for bitcoin and AI compute
high_conviction_top10_v1,2025Q3,AEHR,110.209,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,21,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,TNDM,109.7551,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,13,0,0,,,
high_conviction_top10_v1,2024Q3,GEO,108.3399,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,29,0,0,,,
high_conviction_top10_v1,2025Q2,HOOD,107.5306,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,8,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,TPC,107.1698,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,44,74.000000,74,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,FWRD,106.8063,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,12,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q4,AI,106.6611,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,27,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q1,RRGB,106.3536,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,32,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q3,PTON,104.5147,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,46,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q4,SMCI,103.1025,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,8,0,1,,,
high_conviction_top10_v1,2024Q4,SLQT,102.9703,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,47,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,NOK,102.6688,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,0,0,,,telecom network modernization
high_conviction_top10_v1,2022Q2,SHLS,101.8405,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,53,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,SILC,101.8229,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,16,0,0,,,
high_conviction_top10_v1,2025Q2,FLNC,101.4303,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,17,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,SMCI,101.3393,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,4,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q4,XMTR,101.2743,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,14,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q3,ULCC,100.9375,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,37,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,REAL,100.6944,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,43,74.000000,74,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,SHLS,100.4338,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,42,74.000000,74,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q4,ACLS,100.1217,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,66,1,2+,rm_buy_review_flag,hp_LLM_best,
high_conviction_top10_v2_final,2024Q4,CRNC,431.0526,5x_to_10x,not_variant_eligible,no_entry_hp_rm_theme_t5_override,,,29,2+,0,rm_buy_review_flag,,
high_conviction_top10_v2_final,2023Q2,CVNA,416.351,5x_to_10x,not_variant_eligible,no_entry_hp_rm_theme_t5_override,,,27,1,0,rm_buy_review_flag,,
high_conviction_top10_v2_final,2024Q2,EBS,330.8475,2x_to_5x,eligible_but_ranked_below_top10,entry_hp_rm_theme_or_t5,15,82.000000,82,1,0,rm_buy_review_flag,,
