variant,ticker,pick_count,quarters_selected,avg_return_90d_pct,total_return_90d_pct_points,winner_30_count,loser_minus30_count,best_quarter,best_return_90d_pct,worst_quarter,worst_return_90d_pct,primary_themes_seen,positive_contribution_rank,negative_contribution_rank
high_conviction_top10_v1,MPAA,1,2025Q3,-7.9456,-7.9456,0,0,2025Q3,-7.9456,2025Q3,-7.9456,,75,33
high_conviction_top10_v1,PGY,1,2025Q3,-8.065,-8.065,0,0,2025Q3,-8.065,2025Q3,-8.065,,76,32
high_conviction_top10_v1,ONC,1,2025Q1,-8.7182,-8.7182,0,0,2025Q1,-8.7182,2025Q1,-8.7182,,77,31
high_conviction_top10_v1,STGW,1,2022Q2,-9.1045,-9.1045,0,0,2022Q2,-9.1045,2022Q2,-9.1045,,78,30
high_conviction_top10_v1,RPD,1,2023Q1,-10.3702,-10.3702,0,0,2023Q1,-10.3702,2023Q1,-10.3702,,79,29
high_conviction_top10_v1,CRK,1,2021Q4,-10.7027,-10.7027,0,0,2021Q4,-10.7027,2021Q4,-10.7027,,80,28
high_conviction_top10_v1,CORZ,1,2024Q4,-10.807,-10.807,0,0,2024Q4,-10.807,2024Q4,-10.807,Contracted HPC data center hosting,81,27
high_conviction_top10_v1,HLIT,1,2022Q1,-12.2449,-12.2449,0,0,2022Q1,-12.2449,2022Q1,-12.2449,,82,26
high_conviction_top10_v1,SMCI,3,2021Q4;2022Q2;2023Q3,-4.110833333333333,-12.3325,0,0,2022Q2,1.1905,2023Q3,-14.2233,,83,25
high_conviction_top10_v1,ANGO,1,2026Q1,-14.1593,-14.1593,0,0,2026Q1,-14.1593,2026Q1,-14.1593,,84,24
high_conviction_top10_v1,RLGT,1,2025Q2,-14.2446,-14.2446,0,0,2025Q2,-14.2446,2025Q2,-14.2446,,85,23
high_conviction_top10_v1,MTRX,2,2023Q3;2023Q4,-7.2250000000000005,-14.450000000000001,0,0,2023Q3,2.7263,2023Q4,-17.1763,,86,22
high_conviction_top10_v1,RELY,1,2025Q1,-16.9208,-16.9208,0,0,2025Q1,-16.9208,2025Q1,-16.9208,,87,21
high_conviction_top10_v1,VST,1,2024Q2,-17.4297,-17.4297,0,0,2024Q2,-17.4297,2024Q2,-17.4297,,88,20
high_conviction_top10_v1,KRO,1,2024Q2,-17.9549,-17.9549,0,0,2024Q2,-17.9549,2024Q2,-17.9549,,89,19
high_conviction_top10_v1,NEO,1,2025Q2,-18.8563,-18.8563,0,0,2025Q2,-18.8563,2025Q2,-18.8563,,90,18
high_conviction_top10_v1,RBBN,2,2024Q1;2025Q1,-9.73855,-19.4771,0,0,2024Q1,2.4845,2025Q1,-21.9616,,91,17
high_conviction_top10_v1,ZETA,1,2022Q1,-24.0081,-24.0081,0,0,2022Q1,-24.0081,2022Q1,-24.0081,,92,16
high_conviction_top10_v1,PTON,1,2025Q1,-24.8268,-24.8268,0,0,2025Q1,-24.8268,2025Q1,-24.8268,,93,15
high_conviction_top10_v1,CRTO,1,2024Q3,-27.8955,-27.8955,0,0,2024Q3,-27.8955,2024Q3,-27.8955,,94,14
high_conviction_top10_v1,ORGO,1,2022Q1,-31.0811,-31.0811,0,1,2022Q1,-31.0811,2022Q1,-31.0811,,95,13
high_conviction_top10_v1,NET,1,2024Q1,-33.3878,-33.3878,0,1,2024Q1,-33.3878,2024Q1,-33.3878,,96,12
high_conviction_top10_v1,APPN,1,2025Q4,-34.6033,-34.6033,0,1,2025Q4,-34.6033,2025Q4,-34.6033,,97,11
high_conviction_top10_v1,CRSR,1,2025Q3,-35.8529,-35.8529,0,1,2025Q3,-35.8529,2025Q3,-35.8529,,98,10
high_conviction_top10_v1,EVER,1,2024Q3,-37.957,-37.957,0,1,2024Q3,-37.957,2024Q3,-37.957,,99,9
