ticker,variant,r_multiple,data_start,data_end,trades,total_R,avg_R,pf_R,win_rate,target_rate,stop_rate,gap_stop_rate,time_exit_rate,avg_hold_days,target_3R_count,target_4R_count,avg_effective_r,pnl_1share,avg_trade_1share
NKE,adaptive-v1,3.0,1999-01-04,2026-05-08,32,-3.4875674166319612,-0.10898648176974879,0.8646860554379283,0.25,0.21875,0.6875,0.0625,0.03125,4.21875,32,0,3.0,7.1999921798706055,0.22499975562095642
NKE,adaptive-v2,3.0,1999-01-04,2026-05-08,8,4.0,0.5,1.8,0.375,0.375,0.625,0.0,0.0,4.25,8,0,3.0,3.1649980545043945,0.3956247568130493
NKE,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
NVDA,legacy,3.0,1999-01-22,2026-05-08,140,-95.37150712736224,-0.6812250509097303,0.3300905187820687,0.12857142857142856,0.1,0.7142857142857143,0.1357142857142857,0.05,4.85,140,0,3.0,-39.078463643789256,-0.27913188316992327
NVDA,r3-core,3.0,1999-01-22,2026-05-08,43,-23.7463570457926,-0.5522408615300605,0.36786683934771186,0.16279069767441862,0.09302325581395349,0.6744186046511628,0.16279069767441862,0.06976744186046512,4.813953488372093,43,0,3.0,-3.0675995126367166,-0.07133952354969109
NVDA,r3-v5-broad,3.0,1999-01-22,2026-05-08,6,2.0,0.3333333333333333,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,5.0,6,0,3.0,12.150242626666937,2.025040437777823
NVDA,r3-v5-priority,3.0,1999-01-22,2026-05-08,6,2.0,0.3333333333333333,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,5.0,6,0,3.0,12.150242626666937,2.025040437777823
NVDA,adaptive-v1,3.0,1999-01-22,2026-05-08,54,-20.488746203411942,-0.37942122598911004,0.553223781285255,0.18518518518518517,0.14814814814814814,0.7222222222222222,0.09259259259259259,0.037037037037037035,3.925925925925926,54,0,3.0,0.36550686508413044,0.006768645649706119
NVDA,adaptive-v2,3.0,1999-01-22,2026-05-08,5,-5.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,3.0,-2.8524895906448045,-0.5704979181289609
NVDA,adaptive-v2-extreme-research,3.0,1999-01-22,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
OKLO,legacy,3.0,2021-07-08,2026-05-08,22,-16.412133718069835,-0.7460060780940835,0.2414645283758775,0.09090909090909091,0.045454545454545456,0.7272727272727273,0.13636363636363635,0.09090909090909091,6.590909090909091,22,0,3.0,-20.618034362792983,-0.9371833801269538
OKLO,r3-core,3.0,2021-07-08,2026-05-08,8,-6.027699992221766,-0.7534624990277208,0.3379518623538281,0.25,0.125,0.25,0.5,0.125,10.0,8,0,3.0,-20.530006408691403,-2.5662508010864253
OKLO,r3-v5-broad,3.0,2021-07-08,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
OKLO,r3-v5-priority,3.0,2021-07-08,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
OKLO,adaptive-v1,3.0,2021-07-08,2026-05-08,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,3.0,-0.6900005340576172,-0.6900005340576172
OKLO,adaptive-v2,3.0,2021-07-08,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
OKLO,adaptive-v2-extreme-research,3.0,2021-07-08,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
ORCL,legacy,3.0,1999-01-04,2026-05-07,88,-13.510212504270346,-0.1535251420939812,0.8017550811513904,0.23863636363636365,0.18181818181818182,0.7045454545454546,0.056818181818181816,0.056818181818181816,5.545454545454546,88,0,3.0,-15.999099731445297,-0.18180795149369655
ORCL,r3-core,3.0,1999-01-04,2026-05-07,49,6.245755244872152,0.12746439275249288,1.168300370083235,0.3469387755102041,0.2653061224489796,0.5918367346938775,0.061224489795918366,0.08163265306122448,7.040816326530612,49,0,3.0,-88.98627185821535,-1.8160463644533744
ORCL,r3-v5-broad,3.0,1999-01-04,2026-05-07,11,1.0,0.09090909090909091,1.125,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.0,0.0,3.1818181818181817,11,0,3.0,1.469992637634233,0.1336356943303848
ORCL,r3-v5-priority,3.0,1999-01-04,2026-05-07,6,2.0,0.3333333333333333,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,4.833333333333333,6,0,3.0,-2.400008201599123,-0.40000136693318716
ORCL,adaptive-v1,3.0,1999-01-04,2026-05-07,22,5.725707276086384,0.2602594216402902,1.374859077246971,0.3181818181818182,0.3181818181818182,0.5909090909090909,0.09090909090909091,0.0,4.636363636363637,22,0,3.0,-10.463742256164556,-0.47562464800747983
ORCL,adaptive-v2,3.0,1999-01-04,2026-05-07,2,2.0,1.0,3.0,0.5,0.5,0.5,0.0,0.0,3.0,2,0,3.0,-1.6300125122070312,-0.8150062561035156
ORCL,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
P,legacy,3.0,2015-10-06,2026-05-08,31,-3.541955715069644,-0.11425663596998852,0.8577712179305372,0.25806451612903225,0.22580645161290322,0.6774193548387096,0.06451612903225806,0.03225806451612903,4.774193548387097,31,0,3.0,-12.971991539001465,-0.4184513399677892
P,r3-core,3.0,2015-10-06,2026-05-08,9,2.020990186672986,0.22455446518588731,1.2560844513317495,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,7.0,9,0,3.0,8.28000545501709,0.9200006061130099
P,r3-v5-broad,3.0,2015-10-06,2026-05-08,1,3.0,3.0,inf,1.0,1.0,0.0,0.0,0.0,6.0,1,0,3.0,4.32000732421875,4.32000732421875
P,r3-v5-priority,3.0,2015-10-06,2026-05-08,1,3.0,3.0,inf,1.0,1.0,0.0,0.0,0.0,6.0,1,0,3.0,4.32000732421875,4.32000732421875
