quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,FELE,38725,0000038725-24-000138,2024-07-23,fele-20240723.htm,a20240723ex991earningsrele.htm,,3160,12458,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,484551000,484.551,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FET,1401257,0001401257-24-000115,2024-07-17;2024-08-02,fet-20240717.htm,exhibit991pressrelease0717.htm;exhibit991-fetearningsrele.htm,,4755,4898,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:error_HTTPError,True,included,True,$100M-$500M,188957000,188.957,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FFIV,1048695,0001048695-24-000104,2024-07-29,ffiv-20240729.htm,ex991-q324earningsreleasef.htm,,3132,24394,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1403553000,1403.553,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-06,10-Q,2023-03-31,True,SPY,"F5, Inc.",doc_quality_passed,
2024Q3,FG,0001934850,0001934850-24-000040,2024-08-05,fg-20240805.htm,a2q24fgearningsrelease_0.htm;fgsummer2024investorpres.htm,,4821,94092,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$500M-$1B,869000000,869.0,keep_under_10b,Revenues,2024-05-10,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FHB,36377,0001558370-24-010221,2024-07-26,fhb-20240726x8k.htm,fhb-20240726xex99d1.htm,,3784,53179,0,40,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,216270000,216.27,keep_under_10b,Revenues,2024-05-06,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FICO,814547,0000814547-24-000026,2024-07-31,fico-20240731.htm,exhibit991erq32024.htm,,2967,16689,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,725136000,725.136,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,True,SPY,Fair Isaac,doc_quality_passed,
2024Q3,FIGS,1846576,0001628280-24-036148,2024-08-08,figs-20240808.htm,figs-20240808xpressrelease.htm,,9449,25869,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,120232000,120.232,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FIS,1136893,0001136893-24-000111,2024-08-06,fis-20240806.htm,q22024ex991.htm,,5127,52902,0,22,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,2397000000,2397.0,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,True,SPY,Fidelity National Information Services,doc_quality_passed,
2024Q3,FISV,798354,0000798354-24-000154,2024-07-24,fisv-20240724.htm,fiq224earningsrelease.htm,,3605,34880,0,29,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,4547000000,4547.0,keep_under_10b,Revenues,2024-04-24,10-Q,2023-03-31,True,SPY,Fiserv,doc_quality_passed,
2024Q3,FIVE,1177609,0001177609-24-000020,2024-08-28,five-20240828.htm,q22024fivebelowexhibit991.htm,,3188,20434,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,726247000,726.247,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-06,10-Q,2023-04-29,False,,,doc_quality_passed,
2024Q3,FIVN,1288847,0001288847-24-000116,2024-08-08,fivn-20240808.htm,a063024ex991earningsrelease.htm,,3377,28627,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,218439000,218.439,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,False,,,doc_quality_passed,
