quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,AESI,0001984060,$100M-$500M,doc_quality_passed,,,,0000950170-24-090850,2024-08-05,aesi-20240805.htm,True,4300,aesi-ex99_1.htm,1,1,27718,0000950170-24-091945,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AFL,4977,$2B-$10B,doc_quality_passed,,,,0000004977-24-000138,2024-07-31,a2q24maxsteleconferencep.htm,True,22088,aflex991-q22024.htm;aflex993teleconferencespee.htm,2,2,53554,0000004977-24-000140,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AFRM,1820953,$1B-$2B,doc_quality_passed,,,,0001820953-24-000033,2024-08-28,afrm-20240828.htm,True,3547,afrm-q424shareholderlett.htm,1,1,67546,0001820953-24-000035,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AGX,100591,$100M-$500M,doc_quality_passed,,,,0001558370-24-012610,2024-09-05,agx-20240905x8k.htm,True,2935,agx-20240905xex99d1.htm,1,1,15558,0001558370-24-012611,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AGYS,78749,$100M-$500M,doc_quality_passed,,,,0000950170-24-085249,2024-07-22,agys-20240722.htm,True,3479,agys-ex99_1.htm,1,1,18057,0000950170-24-086879,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AHCO,1725255,$500M-$1B,doc_quality_passed,,,,0001628280-24-034954,2024-08-06,ahco-20240806.htm,True,3621,ahco-20240806x8k_ex991.htm,1,1,22311,0001628280-24-035235,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AHR,1632970,$100M-$500M,doc_quality_passed,,,,0001632970-24-000076,2024-08-05,ahr-20240805.htm,True,3841,exhibit991q22024earningsre.htm;exhibit992q22024suppleme.htm,2,2,99674,0001632970-24-000085,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AHRT,1569187,$100M-$500M,doc_quality_passed,,,,0001569187-24-000117,2024-08-07,ahh-20240807.htm,True,4590,ahh2024q2ex991earningsrele.htm;ex992_q22024supplemental.htm,2,2,98433,0001569187-24-000119,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AI,1577526,$100M-$500M,doc_quality_passed,,,,0001628280-24-039310,2024-09-04,ai-20240904.htm,True,3588,ex991-fy25xq1earnings.htm,1,1,25564,0001628280-24-039467,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AIOT,1774170,$100M-$500M,doc_quality_passed,,,,0001493152-24-030281,2024-08-05;2024-08-22,form8-k.htm,True,7309,ex99-1.htm;ex99-1.htm,2,2,19338,0001628280-24-038616,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AJG,354190,$2B-$10B,doc_quality_passed,,,,0001193125-24-184856,2024-07-25,d841953d8k.htm,True,4658,d841953dex991.htm;d841953dex992.htm,2,2,54603,0000950170-24-086937,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AKAM,1086222,$500M-$1B,doc_quality_passed,,,,0001086222-24-000197,2024-08-08,akam-20240808.htm,True,3406,exhibit991-q22024.htm,1,1,37247,0001086222-24-000199,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALB,915913,$2B-$10B,doc_quality_passed,,,,0000915913-24-000137,2024-07-31,alb-20240731.htm,True,5633,a2q24earningsreleaseex991.htm,1,1,39875,0000915913-24-000139,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALG,897077,$100M-$500M,doc_quality_passed,,,,0000897077-24-000095,2024-07-31,alg-20240731.htm,True,3343,ex991q22024.htm,1,1,15882,0000897077-24-000096,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALGM,866291,$500M-$1B,doc_quality_passed,,,,0000950103-24-010519,2024-07-23;2024-08-01,dp214872_8k.htm,True,24252,dp214872_ex9901.htm;algm-ex99_1.htm,1,2,11371,0000950170-24-089610,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALGN,1097149,$500M-$1B,doc_quality_passed,,,,0001097149-24-000045,2024-07-24,algn-20240724.htm,True,3364,algn-q224earningspressrele.htm,1,1,38426,0001097149-24-000049,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALGT,1362468,$500M-$1B,doc_quality_passed,,,,0001362468-24-000040,2024-07-31,algt-20240731.htm,True,7320,a2024q28-kex991.htm,1,1,45528,0001362468-24-000043,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALKS,1520262,$100M-$500M,doc_quality_passed,,,,0000950170-24-085860,2024-07-24,alks-20240724.htm,True,3565,alks-ex99_1.htm;alks-ex99_2.htm,2,2,34319,0000950170-24-085873,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALLE,1579241,$500M-$1B,doc_quality_passed,,,,0001579241-24-000044,2024-07-24,alle-20240724.htm,True,3641,exhibit991-pressreleasedat.htm,1,1,26281,0001579241-24-000045,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALRM,1459200,$100M-$500M,doc_quality_passed,,,,0001459200-24-000020,2024-08-08,alrm-20240808.htm,True,3529,ex991earningsreleasejune30.htm,1,1,32418,0001459200-24-000021,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ALTG,1759824,$100M-$500M,doc_quality_passed,,,,0000950170-24-092824,2024-08-07,altg-20240807.htm,True,3589,altg-ex99_1.htm,1,1,27699,0000950170-24-092871,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AMC,1411579,$500M-$1B,doc_quality_passed,,,,0001104659-24-081453,2024-07-22;2024-07-24;2024-08-02,tm2419663d1_8k.htm,True,34683,tm2419663d1_ex99-1.htm;tm2420072d1_ex99-1.htm;amc-20240802xex99d1.htm,1,3,19729,0001411579-24-000060,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AMCX,1514991,$500M-$1B,doc_quality_passed,,,,0001514991-24-000032,2024-08-09,amcx-20240809.htm,True,3427,amcx-80924ex991.htm,1,1,28905,0001514991-24-000034,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AMD,2488,$2B-$10B,doc_quality_passed,,,,0000002488-24-000121,2024-07-30,amd-20240730.htm,True,5629,amdq224earningsslides.htm,1,1,23684,0000002488-24-000123,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AME,1037868,$1B-$2B,doc_quality_passed,,,,0001037868-24-000045,2024-08-01,ame-20240801.htm,True,3584,ametek8kexhibit9918-1x24.htm,1,1,11613,0001037868-24-000048,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AMGN,318154,$2B-$10B,doc_quality_passed,,,,0000318154-24-000033,2024-08-06,amgn-20240806.htm,True,9686,amgn-20240630earningsrelea.htm,1,1,57096,0000318154-24-000035,,False,0,True,False,ready,missing_periodic_doc_name
