Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
CNO,$1B-$2B,-800000,35102500000,202000000,-406700000,81900000,58.9215
CNP,$2B-$10B,325000000,39715000000,-519000000,-1155000000,1713000000,38.1059
CNR,$500M-$1B,230377000,2695311000,-225863000,-102757000,248511000,-15.5387
CNTY,$100M-$500M,-1243000,1359662000,-337000,-10791000,12280000,-48.2014
CNX,$1B-$2B,710395000,8340145000,-107749000,-159511000,248738000,57.2716
CNXC,$1B-$2B,87870000,12491827000,-34526000,-39597000,103893000,-59.388
CNXN,$500M-$1B,14198000,1118057000,-5743000,-1882000,19505000,-0.1709
COCO,$100M-$500M,6705000,285682000,597000,-449000,9436000,85.2994
CODI,$100M-$500M,105397000,3816981000,-178446000,154724000,15545000,-47.1612
COF,$2B-$10B,960000000,478464000000,15719000000,-2994000000,2992000000,38.6599
COHR,$2B-$10B,-81224000,14117632000,3682005000,-5833816000,452493000,338.7983
COIN,$500M-$1B,-78896000,206982953000,460129000,-26080000,463078000,-17.4779
COKE,$1B-$2B,118127000,4288942000,-40019000,-52542000,184694000,77.9406
COLL,$100M-$500M,-17426000,1143308000,68297000,-176000,27671000,1.5096
COLM,$500M-$1B,46202000,2888974000,-35561000,-111680000,78002000,-23.4257
COMP,$500M-$1B,-150400000,1160300000,60700000,-3500000,-55500000,124.4444
COO,$1B-$2B,84600000,11658900000,-124400000,-195300000,290800000,-26.2085
COOK,$100M-$500M,-10930000,860759000,-478000,245000,-23590000,-66.7417
COR,>$50B,915147000,62558746000,-1733391000,-1599895000,1339588000,36.9926
CORT,$100M-$500M,15879000,621517000,181000,207475000,25957000,41.8898
CORZ,$100M-$500M,-388000,712156000,-1021000,-1869000,19942000,124.5586
COST,>$50B,4132000000,68994000000,-1950000000,-3147000000,7343000000,20.7112
CPAY,$500M-$1B,214835000,15476252000,-217715000,-159027000,877665000,17.5479
CPB,$2B-$10B,689000000,12058000000,-535000000,-269000000,918000000,-54.7577
CPK,$100M-$500M,36344000,3304704000,-42152000,-42654000,81667000,20.2752
CRAI,$100M-$500M,8918000,553211000,74848000,-1132000,-70051000,-9.8952
CRC,$1B-$2B,301000000,3998000000,-79000000,-61000000,310000000,22.1847
CRCT,$100M-$500M,9099000,750122000,-80078000,-7741000,95169000,-26.8534
CRDO,$100M-$500M,-22176000,397289000,204181000,-17580000,-30832000,467.5096
CRH,$2B-$10B,-28000000,45107000000,-191000000,-492000000,-671000000,55.8722
CRI,$500M-$1B,35996000,2283327000,-82762000,-13827000,42197000,-38.5897
CRK,$100M-$500M,134503000,6253623000,-34832000,-372507000,386364000,61.244
CRL,$1B-$2B,103131000,8195001000,25241000,-168618000,109383000,-17.188
CRM,$2B-$10B,199000000,99823000000,-2716000000,347000000,4491000000,-31.6793
CRNC,$100M-$500M,-28247000,1297590000,-5443000,2226000,4437000,215.1245
CROX,$500M-$1B,149543000,4643834000,-52306000,-27581000,9931000,-30.1077
CRSP,$100M-$500M,-53065000,2229571000,5404000,117829000,8799000,-4.5724
CRSR,$100M-$500M,-2012000,1357463000,-9886000,-4677000,41826000,-39.6022
CRTO,$100M-$500M,-11809000,2431919000,-72217000,-36102000,41964000,-48.5676
CRUS,$1B-$2B,326355000,2063966000,-178731000,-18372000,124753000,33.5367
CRVL,$500M-$1B,66410000,393923000,-79615000,-29819000,67222000,-31.0562
CSCO,$10B-$50B,8655000000,101852000000,-8976000000,-3887000000,13920000000,76.2847
CSGP,$500M-$1B,87100000,8919700000,-15900000,-19600000,123200000,-47.4909
CSGS,$100M-$500M,20928000,1443046000,-51132000,-8629000,15397000,95.4181
CSX,$2B-$10B,987000000,42408000000,-1438000000,-480000000,1251000000,35.4391
CTAS,$2B-$10B,351689000,8466001000,-774593000,-268611000,1044191000,-0.8392
CTEV,$100M-$500M,209000,6964687000,-109437000,-23101000,64215000,41.8689
CTLP,$100M-$500M,-8574000,289612000,21267000,-48489000,5773000,64.1667
CTOS,$100M-$500M,13800000,3367797000,53849000,-39948000,3906000,102.8736
CTRA,$1B-$2B,677000000,20415000000,-715000000,-479000000,1494000000,25.0093
CTRI,$500M-$1B,-8844000,2189908000,-79356000,-20571000,51878000,80.2361
CTRN,$100M-$500M,-6635000,518721000,-783000,-950000,-13055000,130.4662
CTS,$100M-$500M,18344000,741167000,-16625000,-7896000,11186000,10.8284
CTSH,$2B-$10B,580000000,18483000000,-350000000,-215000000,729000000,-10.0958
CTVA,$2B-$10B,595000000,45500000000,3274000000,-1511000000,-3311000000,47.1156
CVCO,$1B-$2B,197699000,1307975000,-65095000,-159102000,144224000,53.5834
CVGI,$100M-$500M,8700000,483214000,12377000,-3321000,58000,-14.2169
CVGW,$100M-$500M,-7063000,386854000,13303000,-8461000,-3778000,24.561
CVI,$2B-$10B,195000000,4707000000,-122000000,-34000000,247000000,20.351
CVLG,$100M-$500M,16635000,954438000,-28407000,7078000,7248000,40.9923
CVLT,$500M-$1B,33624000,782574000,-276088000,-24444000,177180000,-26.4969
CVNA,$2B-$10B,-160000000,7071000000,151000000,-19000000,-66000000,215.3578
CVS,>$50B,2136000000,249728000000,2726000000,-8514000000,7438000000,33.0912
CVSA,$1B-$2B,71114000,2810541000,-210874000,30697000,149417000,61.1436
CVX,>$50B,6574000000,261632000000,-6573000000,-2807000000,7205000000,22.7348
CWH,$1B-$2B,3169000,4630513000,-235833000,-20687000,199217000,-59.7315
CWK,$2B-$10B,-76400000,7774000000,-42800000,73300000,-221500000,38.5096
CWST,$100M-$500M,3548000,1419890000,-9278000,-17727000,16079000,-21.2742
CWT,$100M-$500M,-22211000,4595533000,62526000,-82082000,20970000,-3.9736
CXM,$100M-$500M,2808000,1223110000,12692000,-28577000,18560000,-45.9938
CXW,$100M-$500M,12400000,3105399000,-176310000,-10507000,89828000,57.5058
CYH,$2B-$10B,-51000000,14455000000,40000000,-19000000,5000000,-16.8639
CZR,$2B-$10B,-136000000,33366000000,-23000000,-231000000,174000000,-28.8249
D,$2B-$10B,981000000,109032000000,1820000000,-2302000000,2097000000,27.2866
DAL,$10B-$50B,-363000000,73134000000,-1179000000,-1100000000,2235000000,43.0036
