quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,OSUR,$100M-$500M,2,1,1,1,0,5,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2024-08-07,4.910000,-13.0346,-10.7943,-16.2933,-16.7006,-12.6273
2024Q3,OSW,$100M-$500M,-1,1,1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-01,16.270000,-7.3141,-6.2692,-5.6546,1.4751,10.1414
2024Q3,OTEX,$2B-$10B,1,2,-1,-1,0,1,mixed,,,,,,,2024-08-02,29.500000,0.9153,8.0000,7.7627,11.2542,1.6949
2024Q3,OTIS,$2B-$10B,1,1,2,1,0,5,good,,,,,,,2024-07-25,91.500000,2.0984,0.6667,2.3497,5.1913,12.4153
2024Q3,OTTR,$100M-$500M,2,2,-1,0,0,3,good,,,,,,,2024-08-07,91.220001,-3.1572,-4.8235,-14.9857,-16.7617,-10.6007
2024Q3,OUT,$100M-$500M,-1,1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,2024-08-07,14.784836,14.9688,16.5627,10.9494,24.7401,25.2252
2024Q3,OXY,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-11,61.169998,0.0654,-0.5722,-3.5802,-14.6967,-11.8849
2024Q3,PACS,$500M-$1B,1,2,1,0,0,4,good,,,,,,,2024-08-13,36.500000,13.2055,8.3014,9.5890,9.8904,-39.8356
2024Q3,PAHC,$500M-$1B,1,-1,-1,0,1,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-29,19.639999,4.5316,12.7800,14.6640,20.1629,20.1120
2024Q3,PANL,$100M-$500M,1,2,2,1,0,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-08-09,6.610000,0.6051,2.8744,-6.3540,3.7821,0.4539
