ticker,indexes,name
JCI,SPY,Johnson Controls
JKHY,SPY,Jack Henry & Associates
JNJ,DOW;SPY,Johnson & Johnson
JPM,DOW;SPY,JPMorgan Chase
KDP,QQQ;SPY,Keurig Dr Pepper
KEY,SPY,KeyCorp
KEYS,SPY,Keysight Technologies
KHC,QQQ;SPY,Kraft Heinz
KIM,SPY,Kimco Realty
KKR,SPY,KKR & Co.
KLAC,QQQ;SPY,KLA Corporation
KMB,SPY,Kimberly-Clark
KMI,SPY,Kinder Morgan
KO,DOW;SPY,Coca-Cola Company (The)
KR,SPY,Kroger
KVUE,SPY,Kenvue
L,SPY,Loews Corporation
LDOS,SPY,Leidos
LEN,SPY,Lennar
LH,SPY,Labcorp
LHX,SPY,L3Harris
LII,SPY,Lennox International
LIN,QQQ;SPY,Linde plc
LITE,SPY,Lumentum
LLY,SPY,Lilly (Eli)
LMT,SPY,Lockheed Martin
LNT,SPY,Alliant Energy
LOW,SPY,Lowe's
LRCX,QQQ;SPY,Lam Research
LULU,SPY,Lululemon Athletica
LUV,SPY,Southwest Airlines
LVS,SPY,Las Vegas Sands
LYB,SPY,LyondellBasell
LYV,SPY,Live Nation Entertainment
MA,SPY,Mastercard
MAA,SPY,Mid-America Apartment Communities
MAR,QQQ;SPY,Marriott International
MAS,SPY,Masco
MCD,DOW;SPY,McDonald's
MCHP,QQQ;SPY,Microchip Technology
MCK,SPY,McKesson Corporation
MCO,SPY,Moody's Corporation
MDLZ,QQQ;SPY,Mondelez International
MDT,SPY,Medtronic
MELI,QQQ,Mercado Libre
MET,SPY,MetLife
META,QQQ;SPY,Meta Platforms
MGM,SPY,MGM Resorts
MKC,SPY,McCormick & Company
MLM,SPY,Martin Marietta Materials
MMM,DOW;SPY,3M
MNST,QQQ;SPY,Monster Beverage
MO,SPY,Altria
MOS,SPY,Mosaic Company (The)
MPC,SPY,Marathon Petroleum
MPWR,QQQ;SPY,Monolithic Power Systems
MRK,DOW;SPY,Merck & Co.
MRNA,SPY,Moderna
MRSH,SPY,Marsh McLennan
MRVL,QQQ,Marvell Technology
MS,SPY,Morgan Stanley
MSCI,SPY,MSCI Inc.
MSFT,DOW;QQQ;SPY,Microsoft
MSI,SPY,Motorola Solutions
MSTR,QQQ,MicroStrategy
MTB,SPY,M&T Bank
MTD,SPY,Mettler Toledo
MU,QQQ;SPY,Micron Technology
NCLH,SPY,Norwegian Cruise Line Holdings
NDAQ,SPY,"Nasdaq, Inc."
NDSN,SPY,Nordson Corporation
NEE,SPY,NextEra Energy
NEM,SPY,Newmont
NFLX,QQQ;SPY,Netflix
NI,SPY,NiSource
NKE,DOW;SPY,"Nike, Inc."
NOC,SPY,Northrop Grumman
NOW,SPY,ServiceNow
NRG,SPY,NRG Energy
NSC,SPY,Norfolk Southern
NTAP,SPY,NetApp
NTRS,SPY,Northern Trust
