quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,ULH,True,included,,Equity,,nasdaq;russell2000,ok,1308208,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-04-01,437396000,2024-07-01,40.470001220703125,2343304.1446940103
2024Q3,2024-07-01,ULTA,True,included,,Equity,,sp500;nasdaq,ok,1403568,Revenues,2024-05-30,10-Q,2023-04-29,2634263000,2024-07-01,384.4100036621094,350641054.45602417
2024Q3,2024-07-01,UMH,True,included,,Equity,,russell2000,ok,752642,Revenues,2024-05-02,10-Q,2023-03-31,52607000,2024-07-01,16.040000915527344,6008093.096206983
2024Q3,2024-07-01,UNF,True,included,,Equity,,russell2000,ok,717954,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-04,10-Q,2023-02-25,1084489000,2024-07-01,171.6699981689453,14552523.66607666
2024Q3,2024-07-01,UNFI,True,included,,Equity,,russell2000,ok,1020859,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-05,10-Q,2023-04-29,22855000000,2024-07-01,12.789999961853027,8579440.421042442
2024Q3,2024-07-01,UNH,True,included,,Equity,Healthcare,dow;sp500,ok,731766,Revenues,2024-05-09,10-Q,2023-03-31,91931000000,2024-07-01,494.6499938964844,2140534948.5529072
2024Q3,2024-07-01,UNP,True,included,,Equity,Industrials,sp500,ok,100885,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,6056000000,2024-07-01,224.86000061035156,525851087.14955646
2024Q3,2024-07-01,UPBD,True,included,,Equity,,nasdaq;russell2000,ok,933036,Revenues,2024-05-02,10-Q,2023-03-31,1016061000,2024-07-01,30.020000457763672,12186760.99451065
2024Q3,2024-07-01,UPLD,True,included,low_liquidity_keep,Equity,,nasdaq,ok,1505155,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,77056000,2024-07-01,2.390000104904175,1763232.6222423713
2024Q3,2024-07-01,UPS,True,included,,Equity,Industrials,sp500,ok,1090727,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,22925000000,2024-07-01,135.9499969482422,516630505.01579285
2024Q3,2024-07-01,UPST,True,included,,Equity,,nasdaq;russell2000,ok,1647639,Revenues,2024-05-08,10-Q,2023-03-31,102927000,2024-07-01,22.899999618530273,113892810.09352367
2024Q3,2024-07-01,UPWK,True,included,,Equity,Technology,nasdaq;russell2000,ok,1627475,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,160858000,2024-07-01,10.680000305175781,21981475.415860813
2024Q3,2024-07-01,URBN,True,included,,Equity,,nasdaq;russell2000,ok,912615,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-10,10-Q,2023-04-30,1113674000,2024-07-01,42.54999923706055,67140926.0202853
2024Q3,2024-07-01,URGN,True,included,,Equity,,nasdaq;russell2000,ok,1668243,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-13,10-Q,2023-03-31,17192000,2024-07-01,16.479999542236328,9764996.512986818
2024Q3,2024-07-01,URI,True,included,,Equity,Industrials,sp500,ok,1067701,Revenues,2024-04-24,10-Q,2023-03-31,3285000000,2024-07-01,640.8400268554688,369894112.5015259
